text,filename,voice,exaggeration,cfg_weight,temperature
"The year is 2025. Artificial Intelligence is writing poetry, generating video, and probably judging your search history right now. So, the burning question is, why on earth should you still learn Python? Is it obsolete? Is it a waste of time? Should you just bow down to our robot overlords and accept your fate as a battery?",001-segment-01,wired-eliv3,0.60,0.45,0.75
"Absolutely not. In fact, learning Python right now is more critical than it was five years ago. Because here is the secret that the tech giants won't tell you. AI is not a replacement for engineers; it is a force multiplier. But a multiplier only works if you have a base number to multiply. If you are a zero, AI just multiplies zero by a thousand, and you are still a zero. But if you know the language of the machine, if you understand the syntax, the logic, and the structure of Python, you become the architect while the AI becomes your bricklayer.",002-segment-02,wired-eliv3,0.58,0.40,0.70
"If you want to work in cybersecurity, you need Python to automate your penetration tests. If you want to work in Cloud Engineering, you need Python to manage your infrastructure. If you want to analyze data, build backends, or just automate the boring emails your boss forces you to send, you need Python. It is the Swiss Army Knife of the digital world. It is the closest thing we have to a universal language for technology. So, welcome to episode one of the Wired Workshop Python Core. We are going to take you from knowing absolutely nothing—literally zero, nada, zilch—to becoming dangerous. By the end of this series, you won't just be coding; you will be wielding power.",003-segment-03,wired-eliv3,0.58,0.40,0.80
"So, grab your caffeine source of choice. We are about to rewrite your skill tree.",004-segment-04,wired-eliv3,0.60,0.45,0.75
"First, let's talk about the setup. Usually, this is the part where tutorials lose fifty percent of the audience. They tell you to open a terminal, install a compiler, mess with path variables, and five minutes later, your computer is on fire and you are crying in a corner. We are not doing that. We are in 2025. We have technology. We are going to code right now, directly in the browser. You don't need a supercomputer. You don't need Linux. You could technically do this on a smart fridge if you were bored enough.",005-segment-05,wired-eliv3,0.58,0.40,0.70
"We are going to use an online Integrated Development Environment, or IDE. A popular choice is Replit, but you can use any browser-based Python shell. The goal here is friction reduction. I want you writing code, not managing software dependencies. So, pause the video, open a new tab, search for an online Python compiler, create a free account, and get a blank screen in front of you. Go ahead. I'll wait. Okay, are you back? Good.",006-segment-06,wired-eliv3,0.58,0.40,0.80
"Look at that blank screen. It looks intimidating, doesn't it? That blinking cursor is mocking you. It's waiting for a command. So let's give it one. We are going to perform the sacred ritual that every programmer has performed since the dawn of time. The ""Hello World"" script.",007-segment-07,wired-eliv3,0.60,0.45,0.75
"Click into the editor and type the word print. All lowercase. P-R-I-N-T. Now, type an opening parenthesis. You will notice that the environment likely auto-completes the closing parenthesis for you. This is your IDE being helpful. Inside those parentheses, type a quotation mark. Again, it probably gives you the second one automatically. Inside those quotes, type ""Hello World."" Or, if you are feeling edgy, type ""Wake up, Neo.""",008-segment-08,wired-eliv3,0.58,0.40,0.70
"Now, look for a big green button that says ""Run"" or ""Play."" Click it.",009-segment-09,wired-eliv3,0.58,0.40,0.80
"Boom. Look at the console at the bottom or right of your screen. It spoke. You commanded the silicon to speak, and it obeyed. You are now a programmer. Update your LinkedIn profile immediately.",010-segment-10,wired-eliv3,0.60,0.45,0.75
"But let's actually break down what just happened, because we don't just copy-paste here; we understand.",011-segment-11,wired-eliv3,0.58,0.40,0.70
"You used a Function. The word print is a built-in function in Python. Think of a function like a spell in a video game. You shout the name of the spell—in this case, ""Print""—and the game engine executes a specific action. The action here is taking whatever you put inside those parentheses and shoving it onto the screen.",012-segment-12,wired-eliv3,0.58,0.40,0.80
"The stuff inside the parentheses? That is called the Argument. But more importantly, the text inside the quote marks is called a String.",013-segment-13,wired-eliv3,0.60,0.45,0.75
"A String is one of the most fundamental data types in Python. It stands for a ""string of characters."" To Python, the letter H, the letter e, the symbol for the exclamation point, and even the blank space between words are all just characters strung together on a laundry line.",014-segment-14,wired-eliv3,0.58,0.40,0.70
"How does Python know it's a string? The quote marks. The quotes are the container. They tell Python, ""Hey, everything inside these marks is just text. Don't try to calculate it. Don't try to run it as code. Just treat it like a word."" You can use double quotes or single quotes; Python doesn't care, as long as you match them. If you start with a double quote, you must end with a double quote. If you mix and match, you are going to have a bad time.",015-segment-15,wired-eliv3,0.58,0.40,0.80
Let's test that theory. Go back to your code. Delete the closing quote mark. Just get rid of it. Now try to hit Run.,016-segment-16,wired-eliv3,0.60,0.45,0.75
"You see that red text? That nasty, angry-looking error message? That is a Syntax Error. It probably says something like EOL while scanning string literal. That sounds like tech gibberish, but it translates to: ""End of Line reached, and I never found the closing quote, you absolute walnut.""",017-segment-17,wired-eliv3,0.58,0.40,0.70
"Get used to seeing red text. In the beginning, error messages feel like failure. They feel like the computer is yelling at you. But you need to reframe that mindset. An error message is just a clue. It is the computer saying, ""I have no idea what you want me to do, but here is exactly where I got confused."" Embrace the error. Read the error. Fix the error. Add that quote mark back in and run it again. Peace is restored.",018-segment-18,wired-eliv3,0.58,0.40,0.80
"Now, let's get fancy. We printed one string. But what if we want to print two? Or combine them?",019-segment-19,wired-eliv3,0.60,0.45,0.75
"Go to a new line. Type print, parentheses, quote, ""I am Iron Man"". Close quote. Now, inside the parentheses, but after the quote mark, type a plus sign +. Then type another string. Quote, "" and I am snapping my fingers."" Close quote.",020-segment-20,wired-eliv3,0.58,0.40,0.70
"So it looks like ""string"" + ""string"". Hit run.",021-segment-21,wired-eliv3,0.58,0.40,0.80
"Look at the output. It smashed them together, didn't it? It probably says ""I am Iron Manand I am snapping my fingers."" It looks ugly. Why? Because computers are literal geniuses but contextual idiots. You told it to add String A to String B. You did not tell it to add a space. The computer does not know about grammar. It does not know about sentence structure. It only knows characters.",022-segment-22,wired-eliv3,0.60,0.45,0.75
"This process is called Concatenation. It is a fancy word for gluing text together. To fix the ugliness, you have to manually add the space character. You can add a space at the end of the first string, inside the quote. Or add a space at the start of the second string. Or, you can even concatenate a third string in the middle that is just a space. ""Text"" + "" "" + ""Text"". Try it out. Make it look readable. You are the typesetter now.",023-segment-23,wired-eliv3,0.58,0.40,0.70
"But printing everything on one line is boring. What if we want to write a poem? Or a list? You could write ten different print statements, but that is inefficient, and we are lazy engineers. We want maximum result for minimum effort.",024-segment-24,wired-eliv3,0.58,0.40,0.80
Enter the Escape Character.,025-segment-25,wired-eliv3,0.60,0.45,0.75
"Go back to your string. Inside the quotes, right in the middle of a sentence, type a backslash—that's the one above the Enter key, not the forward slash—followed by the letter n. So \n. It looks weird. It looks like a typo. But run the code.",026-segment-26,wired-eliv3,0.58,0.40,0.70
"The text after the \n magically jumped to the next line. The backslash is a signal to Python. It says, ""Hey, the next character is special."" The n stands for Newline. So \n is the secret code for hitting the Enter key on your keyboard. You can put as many of these as you want inside a string to format your text. This is how we make menus, lists, and ASCII art without losing our minds.",027-segment-27,wired-eliv3,0.58,0.40,0.80
"Now, I promised you magic. I promised you power. Let's do something that is actually impossible in English but trivial in Python. Let's do math with words.",028-segment-28,wired-eliv3,0.60,0.45,0.75
"In the real world, if I told you to multiply ""Pizza"" by 10, you would look at me like I'm crazy. You can't multiply a pepperoni slice. But in Python? Python loves it.",029-segment-29,wired-eliv3,0.58,0.40,0.70
"Delete your code. Type this: print, parentheses, quote, ""Python is Magic "" (add a space at the end), close quote. Now, outside the quote but inside the parentheses, type an asterisk * and the number 100.",030-segment-30,wired-eliv3,0.58,0.40,0.80
"""Python is Magic "" * 100.",031-segment-31,wired-eliv3,0.60,0.45,0.75
Hit Run.,032-segment-32,wired-eliv3,0.58,0.40,0.70
